Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
No,0,0,1238,50.6,24.4,0.288,0.004,0.006,0.007,0.16,0.004,0.012,0.807,50.1935
No,0,0,77,7,11,0.701,0,0.026,0,0.442,0,0,0.532,49.69883
No,0,0,862,49.2,17.4,0.7,0.153,0.006,0.042,0.465,0.006,0.042,0.287,49.65183
Yes,0,0,163,14.8,10.9,0.546,0,0.006,0,0.307,0.006,0.012,0.669,49.63333
No,1,0,1866,87.2,21.3,0.183,0.014,0.006,0.068,0.251,0.001,0.025,0.635,49.27717
No,0,0,846,42.4,19.9,0.454,0.004,0.002,0.002,0.396,0.002,0.009,0.584,49.00867
No,0,0,1444,80.6,17.9,0.375,0.017,0.006,0.02,0.268,0.003,0.033,0.652,48.46117
No,0,0,1424,78,18.2,0.551,0.305,0.005,0.052,0.315,0.003,0.048,0.272,48.3275
No,0,0,227,16.7,13.5,0.52,0,0,0.004,0.445,0,0,0.551,48.27333
No,0,0,118,10.4,11.3,0.347,0.008,0.008,0,0.059,0.025,0.008,0.89,48.2285
No,0,0,239,20.4,11.6,0.393,0,0.004,0.008,0.351,0,0.021,0.615,48.08667
No,0,0,1308,81.6,16,0.47,0.015,0.008,0.013,0.364,0.002,0.026,0.573,47.93367
No,0,0,326,25,13,0.221,0.003,0.009,0.006,0.221,0,0.009,0.752,47.81767
No,0,0,1330,66.6,19.9,0.3,0.138,0.014,0.012,0.241,0.017,0.059,0.52,47.77083
No,0,0,129,11.5,11.2,0.256,0,0,0,0.233,0.008,0,0.76,47.67083
No,0,0,117,11.4,10.2,0.308,0,0.009,0,0.179,0,0.034,0.778,47.595
No,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,47.07383
No,0,0,62,5.1,12,0.581,0,0.016,0,0.21,0,0,0.774,47.01017
No,1,0,374,20.6,18.1,0.008,0.005,0,0.008,0.12,0,0.08,0.786,46.739
Yes,0,0,422,35.1,11.9,0.872,0.019,0.007,0.021,0.882,0,0.007,0.064,46.51767
No,0,0,104,10.6,9.7,0.288,0,0,0.01,0.087,0.01,0,0.894,45.8585
No,0,0,794,41.8,18.9,0.385,0.008,0.003,0.014,0.515,0.001,0.011,0.448,45.78183
No,0,0,1208,49.3,24.4,0.342,0.01,0.011,0.01,0.207,0,0.021,0.742,45.71233
No,0,0,1254,66.9,18.7,0.532,0.022,0.004,0.012,0.556,0.002,0.009,0.396,45.66667
No,0,0,2388,104.3,22.8,0.44,0.234,0.008,0.057,0.33,0.006,0.055,0.31,45.4825
No,0,0,97,10.6,9,0.299,0.041,0.01,0.01,0.165,0,0.072,0.701,45.43967
Yes,0,0,47,8.3,5.6,0.872,0.021,0,0,0.936,0,0,0.043,45.301
Yes,0,0,416,26.8,15.4,0.555,0.007,0.014,0.002,0.486,0,0.017,0.474,45.108
Yes,1,0,534,24.7,21.6,0.545,0.015,0,0.064,0.661,0,0.004,0.257,44.90017
