Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014)
No,0,0,746,36.6,20.3,0.036,0.004,0.003,0.025,0.063,0.001,0.011,0.893,85.82145
No,0,0,654,33.1,19.7,0.194,0.005,0.002,0.035,0.157,0.002,0.041,0.758,85.79157
No,0,0,642,31.1,20.5,0.069,0,0.003,0.037,0.097,0,0.026,0.836,85.70007
No,0,0,706,40.5,17.4,0.156,0.092,0,0.034,0.123,0.001,0.055,0.694,85.64255
No,0,0,364,25.5,14.2,0.044,0.019,0,0.022,0.104,0,0.027,0.827,85.58379
Yes,0,0,181,14.6,12.3,0.508,0.011,0,0.055,0.293,0,0.033,0.608,85.34871
No,1,0,895,50.4,17.7,0.068,0.012,0,0.023,0.096,0,0.057,0.811,85.19064
No,1,0,1509,75,20.1,0.221,0.011,0.003,0.011,0.156,0,0.013,0.806,85.17821
No,0,0,415,25,16.6,0.251,0.007,0.002,0.099,0.072,0,0.072,0.747,85.06164
No,1,0,1549,88.3,17.5,0.024,0.008,0.001,0.085,0.076,0.001,0.039,0.791,85.06
No,0,0,578,31.3,18.4,0.021,0.017,0.005,0.04,0.071,0.002,0.038,0.827,84.97973
No,1,0,346,24.6,14,0.023,0,0.003,0.006,0.038,0,0.009,0.945,84.91707
No,0,0,554,31.3,17.6,0.065,0.004,0.004,0.042,0.099,0,0.04,0.812,84.84764
No,1,0,1035,73.4,14,0.044,0.016,0.004,0.116,0.108,0.001,0.037,0.718,84.77586
No,0,0,538,26.5,20.3,0.143,0.002,0.002,0.028,0.113,0.006,0.041,0.809,84.5025
No,0,0,542,26,20.8,0.035,0.004,0,0.063,0.068,0.002,0.048,0.815,84.46727
No,0,0,339,22.2,15.2,0.139,0.05,0.012,0.047,0.109,0,0.065,0.717,84.41229
No,0,0,738,41.4,17.8,0.108,0.056,0.011,0.145,0.104,0,0.045,0.64,84.24891
No,1,0,669,39.1,17.1,0,0.016,0.001,0.057,0.135,0.001,0.051,0.738,84.16929
No,0,0,576,27.8,20.6,0.188,0.01,0.016,0.047,0.16,0.003,0.019,0.745,84.14627
No,0,0,603,30,20,0.046,0.008,0,0.035,0.104,0.003,0.048,0.801,84.07657
Yes,1,0,141,9.5,14.8,0.333,0.007,0,0,0.241,0,0.028,0.723,84.07221
No,1,0,348,21.1,16.4,0.052,0.006,0.003,0.052,0.04,0,0.029,0.871,84.06121
No,0,0,370,26.7,13.8,0.119,0.022,0,0.046,0.111,0,0.065,0.757,83.79909
No,0,0,821,42.6,19.2,0.161,0.112,0.004,0.026,0.107,0.001,0.043,0.708,83.74136
No,0,0,716,41.9,17,0.133,0.059,0.003,0.078,0.141,0,0.057,0.662,83.671
No,1,0,859,38.5,22.2,0.054,0.008,0.005,0.079,0.085,0,0.043,0.78,83.65443
No,0,0,555,31.1,17.8,0.25,0.025,0.005,0.032,0.141,0,0.027,0.769,83.62709
No,0,0,261,20.3,12.8,0.249,0,0.004,0,0.153,0.004,0.011,0.828,83.61455
No,0,0,614,33,18.6,0.138,0,0,0.029,0.109,0.002,0.028,0.832,83.54893
No,0,0,497,27.5,18,0.199,0.008,0.004,0.078,0.161,0.004,0.046,0.698,83.28407
No,1,0,1445,64.2,22.4,0.073,0.008,0.002,0.111,0.089,0.003,0.048,0.738,83.2475
No,0,0,590,30.5,19.3,0.119,0.003,0,0.073,0.064,0,0.029,0.831,83.18279
No,0,1,413,23,17.9,0.077,0,0,0.031,0.07,0,0.036,0.862,83.14521
Yes,0,0,507,43.5,11.6,0.057,0.016,0,0.016,0.118,0.002,0.012,0.836,83.13586
No,1,0,196,14,13.9,0.092,0.02,0,0.046,0.026,0,0.005,0.903,83.11171
No,0,0,440,27.2,16.1,0.134,0.011,0.007,0.014,0.084,0,0.03,0.855,82.92536
No,1,0,422,26,16.1,0.111,0,0,0.031,0.081,0,0.031,0.858,82.89079
No,0,0,404,24.1,16.7,0.149,0.007,0.002,0.062,0.126,0.002,0.067,0.733,82.84536
No,0,0,689,33.1,20.8,0.048,0.016,0.003,0.074,0.087,0.003,0.022,0.795,82.83245
No,0,0,428,26.6,16,0.306,0.054,0.002,0.047,0.147,0.002,0.061,0.687,82.726
No,0,0,517,24.4,21.1,0.099,0.015,0.002,0.058,0.126,0.002,0.044,0.752,82.69193
No,0,0,677,36.6,18.4,0.078,0.013,0.001,0.064,0.121,0,0.032,0.768,82.58873
No,1,0,624,39.2,15.9,0.21,0.014,0.003,0.026,0.237,0,0.019,0.7,82.52529
No,0,0,589,28.4,20.7,0.107,0.017,0.003,0.063,0.149,0.002,0.049,0.716,82.35893
No,0,0,566,29.6,19,0.078,0.069,0.004,0.108,0.111,0.004,0.065,0.64,82.35591
No,1,0,490,22.5,21.7,0.08,0.012,0.004,0.114,0.073,0,0.047,0.749,81.93843
No,0,0,282,17,16.5,0.113,0.014,0.011,0.018,0.121,0,0.053,0.784,81.90355
No,1,0,2038,122,16.7,0.062,0.022,0.004,0.031,0.083,0.004,0.039,0.817,81.87829
No,0,0,470,26.3,17.8,0.147,0.002,0,0.098,0.126,0.006,0.036,0.732,81.79827
No,1,0,332,17.7,18.7,0.256,0.006,0.006,0.024,0.241,0,0.015,0.708,81.73429
No,0,0,306,14.8,20.6,0.199,0.003,0.01,0.016,0.052,0,0.02,0.899,81.73409
No,0,0,2509,139.8,17.9,0.073,0.024,0.004,0.031,0.106,0.004,0.057,0.774,81.5305
No,0,0,555,36.6,15.1,0.189,0.004,0,0.009,0.105,0.007,0.018,0.858,81.42991
No,0,0,557,28,19.8,0.289,0.018,0.004,0.095,0.18,0,0.022,0.682,81.12127
No,0,0,619,27.6,22.3,0.195,0,0,0.021,0.136,0.002,0.031,0.811,80.971
Yes,0,0,387,21,18.4,0.377,0.005,0.003,0.005,0.214,0,0.021,0.752,80.95009
No,0,0,800,45.7,17.4,0.043,0.043,0.005,0.083,0.126,0.001,0.056,0.686,80.94318
No,0,0,492,27.9,17.6,0.25,0.01,0.016,0.035,0.116,0,0.053,0.77,80.92336
Yes,0,0,372,24.6,15.1,0.073,0.005,0.005,0.035,0.086,0,0.024,0.844,80.90471
No,0,0,479,29.2,16.3,0.152,0.002,0.004,0.008,0.157,0,0.01,0.818,80.88382
No,0,0,449,18.3,24.4,0.214,0.013,0.004,0.053,0.154,0.007,0.04,0.728,80.58507
No,0,0,339,17.9,18.8,0.761,0.018,0,0.024,0.074,0,0.018,0.867,80.46336
Yes,0,0,930,48.6,19.1,0.109,0.019,0.009,0.016,0.101,0,0.059,0.796,80.35621
No,0,0,294,19.6,14.9,0.35,0,0,0.01,0.293,0,0.014,0.684,80.30591
No,0,0,358,21.1,16.9,0.098,0,0.003,0.008,0.07,0,0.031,0.888,80.22757
No,1,0,233,16.6,13.9,0.348,0.129,0.004,0.021,0.159,0,0.12,0.567,80.21914
No,0,0,435,24.8,17.5,0.251,0.011,0.007,0.034,0.168,0,0.06,0.72,79.99993
No,0,1,497,27.7,17.9,0.06,0.022,0.004,0.042,0.101,0.002,0.05,0.779,79.90343
No,1,0,533,21.2,25.1,0.073,0.006,0,0.039,0.084,0.006,0.039,0.826,79.88279
No,0,0,601,31.5,19,0.063,0.007,0.008,0.03,0.113,0,0.045,0.797,79.86836
No,0,0,415,22.6,18.3,0.072,0.007,0,0.024,0.116,0.002,0.048,0.802,79.49455
No,0,0,425,25.3,16.7,0.132,0.012,0.014,0.033,0.155,0,0.019,0.767,79.31514
No,0,0,728,32.7,22.2,0.093,0.005,0,0.025,0.096,0,0.023,0.85,79.24564
No,0,0,295,20.2,14.5,0.325,0.003,0,0.007,0.285,0,0.031,0.675,79.18327
No,0,0,367,22.3,16.4,0.207,0.014,0,0.025,0.177,0.003,0.052,0.73,79.05245
No,0,0,654,32.3,20.1,0.04,0.005,0,0.049,0.109,0,0.054,0.784,79.046
Yes,0,0,319,19.6,16.2,0.561,0,0.006,0.003,0.743,0,0.013,0.235,78.91945
No,0,0,350,13.9,25,0.16,0,0.006,0.014,0.069,0,0.026,0.886,78.88564
No,0,0,609,34.5,17.6,0.128,0.025,0.005,0.023,0.126,0.007,0.057,0.757,78.83218
No,0,0,420,27.9,15,0.126,0.01,0.01,0.045,0.09,0.012,0.048,0.786,78.80921
Yes,0,0,176,12.8,13.7,0.375,0,0.034,0,0.222,0.006,0.04,0.699,78.75864
No,1,0,745,28,26.6,0.016,0.004,0.005,0.016,0.114,0,0.04,0.82,78.62114
No,1,0,757,31.2,24.2,0.125,0.025,0.003,0.008,0.21,0,0.049,0.705,78.52729
No,0,0,656,32,20.4,0.21,0.078,0.003,0.058,0.142,0,0.087,0.633,78.49718
Yes,0,0,551,31.5,17.4,0.557,0.16,0.009,0.038,0.396,0.013,0.073,0.312,78.41527
Yes,0,0,162,16.6,9.7,0.698,0,0,0,0.562,0,0.025,0.414,78.415
No,0,0,235,14.9,15.7,0.145,0.004,0,0.009,0.068,0,0.038,0.881,78.29309
No,0,0,184,10.5,17.4,0.37,0,0,0.038,0.038,0,0.005,0.918,78.18309
No,0,0,567,30,18.9,0.243,0.101,0.007,0.03,0.168,0.002,0.086,0.607,78.04464
No,0,0,456,26,17.5,0.274,0.132,0.007,0.061,0.151,0.004,0.075,0.57,78.012
No,0,0,541,32.8,16.4,0.152,0.013,0,0.043,0.092,0,0.024,0.828,77.73173
No,0,0,530,30.4,17.4,0.117,0.015,0.009,0.017,0.128,0,0.036,0.794,77.63364
Yes,0,0,237,13.8,17,0.557,0.013,0.004,0,0.156,0,0.008,0.819,77.62443
No,0,0,411,22.7,18,0.071,0.01,0.002,0.012,0.119,0,0.044,0.813,77.62057
Yes,0,0,494,28,17.6,0.34,0.006,0.002,0.012,0.099,0,0.049,0.832,77.56382
No,0,0,540,30,18,0.474,0.124,0.006,0.054,0.246,0.002,0.063,0.506,77.51418
No,0,0,436,24,18.1,0.328,0.021,0.009,0.023,0.163,0,0.062,0.722,77.48118
Yes,0,0,352,24.9,14.1,0.27,0.006,0.006,0.023,0.162,0,0.057,0.747,77.41643
No,1,0,914,47.2,19.3,0.012,0.008,0.002,0.073,0.07,0,0.028,0.818,77.40079
No,0,0,278,13.8,20.1,0.273,0.004,0.004,0.007,0.137,0.004,0.054,0.791,77.30982
No,0,0,449,22.5,19.9,0.167,0,0.004,0.018,0.118,0,0.027,0.833,77.19564
No,0,0,402,21.4,18.7,0.199,0.012,0,0.02,0.117,0.005,0.042,0.803,77.16945
No,0,0,323,17.1,18.8,0.297,0,0.006,0.012,0.118,0,0.009,0.854,77.154
No,0,0,528,24.3,21.6,0.311,0.011,0.006,0.025,0.17,0.002,0.028,0.758,77.08057
