City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14)
Westminster,0,0,0,399,25,15.9,0.401,0.005,0.008,0.093,0.216,0.003,0.053,0.624,74.27
Aurora,0,0,0,1036,55.7,18.5,0.232,0.09,0.007,0.069,0.164,0.004,0.053,0.614,74.161
Parker,0,0,0,987,52,18.9,0.069,0.006,0.006,0.023,0.111,0.004,0.039,0.811,74.02791
Littleton,0,0,0,734,38.2,19.1,0.294,0.005,0.003,0.037,0.185,0.001,0.027,0.741,73.92127
Grand Junction,0,0,0,583,35.7,16.3,0.211,0.005,0.007,0.007,0.144,0,0.033,0.804,73.57082
Boulder,0,1,0,348,21.1,16.4,0.052,0.006,0.003,0.052,0.04,0,0.029,0.871,73.48836
Broomfield,0,0,0,1067,56,19,0.266,0.014,0.004,0.076,0.196,0,0.02,0.691,73.328
Arvada,0,0,0,572,29.2,19.5,0.229,0.005,0.005,0.019,0.14,0,0.031,0.799,73.096
Denver,0,0,0,821,42.6,19.2,0.161,0.112,0.004,0.026,0.107,0.001,0.043,0.708,72.856
Broomfield,0,0,0,968,49.3,19.6,0.144,0.011,0,0.056,0.123,0.002,0.038,0.77,72.55591
Colorado Springs,0,1,0,528,26.6,19.8,0.263,0.036,0,0.019,0.223,0.006,0.044,0.672,72.46227
Longmont,0,0,0,727,36.4,19.9,0.303,0.004,0.004,0.03,0.19,0.001,0.017,0.754,72.34473
Lyons,0,0,0,405,23.4,17.2,0.746,0.005,0.005,0.032,0.096,0.002,0.022,0.837,72.31118
Iliff,0,0,0,139,11.4,12.1,0.46,0.007,0.007,0,0.151,0,0.007,0.827,72.20813
Greeley,0,0,0,625,36.6,17,0.51,0.002,0.005,0.003,0.488,0,0.018,0.485,72.18464
Denver,0,0,0,594,27.2,21.7,0.451,0.192,0.003,0.025,0.247,0.002,0.082,0.448,72.17691
Fairplay,1,0,0,89,6.4,13.7,0.427,0,0,0,0.169,0,0.011,0.82,71.998
Thornton,0,0,0,1160,57.3,20.2,0.146,0.016,0.006,0.059,0.182,0.001,0.019,0.718,71.92791
Littleton,0,0,0,731,43.2,16.8,0.384,0.019,0.005,0.027,0.294,0.003,0.036,0.616,71.84645
Colorado Springs,0,0,0,699,36.5,19.1,0.439,0.026,0.004,0.014,0.225,0,0.057,0.674,71.68909
Highlands Ranch,0,0,0,915,49.4,18.5,0.121,0.024,0.012,0.056,0.153,0.003,0.047,0.705,71.64588
Boulder,0,0,0,581,33.1,17.5,0.262,0.005,0.005,0.043,0.238,0.002,0.052,0.656,70.83291
Westminster,0,1,0,745,28,26.6,0.016,0.004,0.005,0.016,0.114,0,0.04,0.82,70.77691
Westminster,0,0,0,421,22.8,18.4,0.28,0.012,0.007,0.017,0.169,0.002,0.031,0.762,70.67013
Paonia,0,0,0,219,14.2,15.3,0.356,0.005,0.005,0.009,0.123,0,0.014,0.845,70.14825
Canon City,0,1,0,240,14,17.1,0.279,0,0,0.021,0.117,0.013,0.025,0.825,69.83091
Fort Collins,0,0,0,800,41.9,19,0.291,0.014,0.004,0.026,0.135,0.003,0.044,0.775,69.69145
Eaton,0,0,0,438,25.8,16.9,0.345,0.016,0.007,0.007,0.237,0,0.009,0.724,69.32609
Falcon,0,1,0,384,22.4,17.1,0.161,0.034,0.008,0.008,0.07,0.005,0.044,0.831,68.89136
Golden,0,0,0,621,38.2,16.2,0.329,0.011,0.006,0.029,0.147,0.002,0.024,0.781,68.81627
Longmont,0,1,0,1044,35.8,29.1,0.367,0.01,0.008,0.097,0.276,0.003,0.038,0.569,68.76027
Windsor,0,0,0,608,37.5,16.1,0.217,0,0.007,0.015,0.15,0,0.021,0.808,68.62918
Pueblo,0,0,0,711,38,18.6,0.606,0.024,0.003,0.014,0.549,0.001,0.015,0.394,68.52218
Parker,0,0,0,1053,54,19.4,0.171,0.02,0.008,0.026,0.14,0.001,0.044,0.763,68.2335
Colorado Springs,0,1,0,746,53,14,0.157,0.035,0.004,0.017,0.194,0.004,0.121,0.625,68.01718
