District,City,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2013-14),Average Standard Score (2012-13)
Huerfano School District Re-1,Walsenburg,1,0,0,311,25.1,12.3,0.826,0.019,0.042,0.006,0.659,0,0,0.273,22.97691,24.9419
Norwood School District No. R-2j,Norwood,0,0,0,130,12.1,10.6,0.469,0.008,0.038,0.015,0,0,0.015,0.923,22.63175,52.1843
School District No. 1,Denver,1,0,0,523,33,15.8,0.736,0.153,0.006,0.094,0.384,0.006,0.027,0.331,22.436,15.7145
"Colorado Springs, School District No. 11",Colorado Springs,1,1,0,394,36.3,10.8,0.784,0.183,0.003,0.003,0.454,0,0.066,0.292,22.01718,29.81417
Moffat County School District Re: No. 1,Craig,0,0,0,505,31.4,16,0.469,0.006,0.014,0.002,0.22,0,0.014,0.745,21.88645,23.3319
School District No. 1,Denver,1,1,0,473,30.4,15.5,0.882,0.017,0.008,0,0.915,0.004,0,0.055,21.84836,14.9587
Weld County Reorganized School District No. Re-8,Fort Lupton,0,0,0,486,31.9,15.1,0.702,0.002,0.002,0.004,0.73,0,0.008,0.253,21.81718,26.6359
East Otero School District No. R1,La Junta,0,0,0,549,31.1,17.6,0.641,0.002,0.004,0.002,0.61,0,0.022,0.361,20.877,17.23371
School District 27j,Brighton,0,0,0,572,30.3,18.8,0.652,0.016,0.01,0.003,0.642,0,0.024,0.304,20.80836,18.944
School District No. 1,Denver,1,0,0,787,51.2,15.3,0.867,0.024,0.006,0.076,0.766,0.004,0.015,0.108,20.34755,16.8266
School District 27j,Brighton,0,0,0,650,33.5,19.3,0.56,0.008,0.008,0.009,0.577,0,0.018,0.38,20.27191,31.7874
Center Consolidated School District No. 26 Jt.,Center,1,0,0,127,8.9,14.1,0.913,0,0.016,0,0.937,0,0.008,0.039,20.122,16.1616
"Aurora, Joint District No. 28",Aurora,0,1,0,482,23.5,20.4,0.55,0.266,0.008,0.017,0.376,0.002,0.05,0.282,20.06709,21.4984
"Aurora, Joint District No. 28",Aurora,0,1,0,1088,70.7,15.3,0.574,0.178,0,0.046,0.526,0.002,0.07,0.178,19.64273,17.204
School District No. 1,Denver,1,0,0,444,27.2,16.3,0.883,0.041,0.007,0.043,0.773,0,0.023,0.115,19.41027,15.1371
State Charter School Institute,Arvada,0,1,0,279,15.5,17.9,0.448,0.029,0.007,0.032,0.427,0,0.018,0.487,19.16745,20.8841
"Colorado Springs, School District No. 11",Colorado Springs,1,0,1,503,32.7,15.3,0.829,0.109,0.008,0.014,0.372,0.002,0.07,0.425,18.42555,14.2387
"Harrison, School District No. 2",Colorado Springs,0,0,0,493,30.9,15.9,0.783,0.227,0.03,0.045,0.46,0.002,0.043,0.193,17.99718,35.0476
Monte Vista School District No. C-8,Monte Vista,0,0,0,230,17.1,13.4,0.774,0.004,0.017,0,0.783,0,0.009,0.187,17.57418,24.0563
"Greeley,school District No. 6",Greeley,0,0,0,654,37.2,17.5,0.8,0.008,0.003,0.011,0.739,0,0.011,0.229,16.261,17.4634
School District No. 1,Denver,1,0,0,916,50.2,18.2,0.735,0.362,0.012,0.057,0.441,0.002,0.044,0.082,16.19082,22.9954
School District No. 1,Denver,1,0,0,441,23.2,18.9,0.884,0,0.005,0.002,0.959,0,0.009,0.025,15.93418,16.3836
"Harrison, School District No. 2",Colorado Springs,1,1,0,677,33.2,20.3,0.885,0.213,0.007,0.009,0.554,0.007,0.052,0.158,15.84518,16.309
"Englewood, School District No. 1",Englewood,0,0,0,264,24.8,10.6,0.689,0.053,0.015,0.008,0.409,0,0.049,0.466,15.82463,10.33057
Dolores County School District Re-2j,Dove Creek,0,0,0,128,9.2,13.8,0.445,0,0.031,0,0.016,0,0.023,0.93,15.43075,2.57467
Rocky Ford School District No. R2,Rocky Ford,1,0,0,331,27.2,12.1,0.758,0.006,0.006,0.009,0.722,0,0,0.257,15.0525,11.18329
"Greeley,school District No. 6",Greeley,1,0,0,722,44,16.4,0.921,0.035,0.004,0,0.888,0,0.01,0.064,14.81186,15.934
School District No. 1,Denver,1,0,0,939,53.2,17.6,0.835,0.029,0.007,0.032,0.778,0,0.027,0.127,14.69027,15.8406
Sheridan School District No. 2,Englewood,1,0,0,313,22.2,14,0.904,0.045,0.013,0.032,0.77,0,0.01,0.131,14.56882,9.5711
School District No. 1,Denver,1,0,0,318,19.7,16.1,0.931,0.44,0.009,0.009,0.406,0.003,0.047,0.085,14.56129,21.35617
School District No. 1,Denver,1,0,0,666,38.2,17.4,0.952,0.096,0.003,0.024,0.857,0.002,0.009,0.009,14.47327,12.8912
Montrose County School District Re-1j,Olathe,0,0,0,253,16.2,15.6,0.704,0,0,0.004,0.522,0,0.028,0.447,14.469,23.2415
"Mapleton, School District No. 1",Thornton,1,0,1,514,29,17.6,0.691,0.018,0.01,0.025,0.743,0,0.021,0.183,13.67736,12.5909
"Aurora, Joint District No. 28",Aurora,0,0,0,1132,62.1,18.2,0.455,0.072,0.008,0.02,0.441,0.005,0.067,0.386,13.40245,16.5135
School District N. 14,Commerce City,1,0,0,774,45,17.2,0.885,0.018,0.006,0.003,0.84,0,0.009,0.124,13.32136,13.5211
"Greeley,school District No. 6",Greeley,0,0,0,573,31.6,18.1,0.801,0.024,0.002,0.003,0.703,0.002,0.012,0.253,12.88327,10.1112
Adams 12 Five Star Schools,Northglenn,0,0,0,806,44.7,18,0.78,0.037,0.011,0.036,0.537,0.001,0.011,0.366,12.85882,15.4711
School District No. 1,Denver,1,1,0,501,35.3,14.1,0.95,0.054,0.004,0,0.936,0,0.002,0.004,12.84082,13.1798
Ignacio School District No. 11jt,Ignacio,0,0,0,176,14.6,11.9,0.477,0.006,0.239,0,0.347,0,0.068,0.341,12.71736,14.93943
School District No. 1,Denver,1,1,0,333,27.4,12.1,0.943,0.036,0.021,0.003,0.91,0,0.015,0.015,12.52755,21.2233
Lake County School District No. R-1,Leadville,1,0,0,294,20.5,14.3,0.769,0,0.007,0,0.718,0,0.02,0.255,12.26573,8.0587
School District No. 1,Denver,1,0,0,464,31.7,14.6,0.709,0.019,0.026,0.004,0.711,0.002,0.009,0.228,12.138,7.148
"Pueblo, School District No. 60",Pueblo,1,0,0,352,27.9,12.6,0.824,0.017,0.006,0.006,0.739,0,0.017,0.216,12.06,14.21471
"Aurora, Joint District No. 28",Aurora,0,0,0,930,50.3,18.4,0.768,0.271,0.009,0.038,0.513,0.006,0.04,0.124,11.94827,10.6355
"Mapleton, School District No. 1",Thornton,1,0,1,520,32.2,16.1,0.79,0.006,0,0.029,0.738,0.002,0.015,0.21,11.94545,10.7194
School District N. 14,Commerce City,1,0,0,783,40,19.5,0.879,0.032,0.009,0.001,0.848,0,0.004,0.106,11.83227,12.7689
"Colorado Springs, School District No. 11",Colorado Springs,1,0,0,512,33.6,15.2,0.873,0.152,0.027,0.018,0.506,0.012,0.031,0.254,11.72718,8.5583
School District No. 1,Denver,1,0,0,135,12.5,10.8,0.852,0.496,0.022,0,0.341,0.022,0.015,0.104,11.727,7.4733
Jefferson County School District No. R-1,Lakewood,1,0,0,498,35.4,14,0.855,0.018,0.004,0.036,0.767,0,0.024,0.151,11.22775,10.14014
"Westminster, School District No. 50",Westminster,0,0,0,615,32.4,18.9,0.766,0.01,0.01,0.055,0.628,0,0.02,0.278,11.21791,10.8963
"Westminster, School District No. 50",Denver,1,0,0,772,45,17.1,0.891,0.005,0.006,0.062,0.786,0,0.018,0.122,10.54591,5.4584
"Pueblo, School District No. 60",Pueblo,1,0,0,310,20,15.4,0.774,0.016,0.01,0.006,0.626,0.003,0.032,0.306,10.34945,5.8747
School District No. 1,Denver,1,0,0,484,27.2,17.7,0.746,0.236,0.008,0.019,0.349,0,0.056,0.333,10.03055,24.9598
"Aurora, Joint District No. 28",Aurora,0,0,0,909,44.5,20.4,0.717,0.254,0.011,0.04,0.466,0,0.045,0.184,9.85755,13.0619
Centennial School District No. R-1,San Luis,1,0,0,54,6.3,8.4,0.833,0.019,0,0,0.889,0,0,0.093,9.13714,1.91733
"Pueblo, School District No. 60",Pueblo,1,0,0,369,34.2,10.7,0.973,0.014,0.003,0.003,0.864,0,0.005,0.111,8.90864,4.9922
"Mapleton, School District No. 1",Thornton,1,0,1,484,26.8,18,0.771,0.017,0.01,0.023,0.682,0.002,0.041,0.225,8.83691,8.809
School District No. 1,Denver,1,1,0,588,36.5,16,0.959,0.206,0.009,0,0.759,0,0.012,0.015,8.53373,9.6231
"Aurora, Joint District No. 28",Aurora,1,0,0,879,41.3,21.2,0.829,0.154,0.011,0.013,0.729,0.006,0.024,0.064,8.446,14.6566
"Mapleton, School District No. 1",Thornton,0,0,0,616,31.1,19.7,0.622,0.026,0.016,0.002,0.659,0.003,0.023,0.271,8.10113,12.24471
"Greeley,school District No. 6",Greeley,0,0,0,784,41.2,19,0.843,0.013,0,0.008,0.811,0.001,0.011,0.156,8.06018,5.1232
School District No. 1,Denver,1,0,0,1054,67,15.7,0.961,0.287,0.002,0.277,0.322,0.01,0.023,0.079,7.94873,6.5635
School District No. 1,Denver,1,0,0,1152,67.5,17,0.885,0.241,0.002,0.03,0.662,0.004,0.023,0.037,7.79173,6.5726
School District No. 1,Denver,1,0,1,829,56.3,14.7,0.935,0.144,0.001,0.004,0.818,0.001,0.021,0.012,7.77218,6.5523
"Aurora, Joint District No. 28",Aurora,1,0,0,1045,58.8,17.7,0.85,0.16,0.003,0.046,0.69,0.006,0.019,0.077,7.39882,5.8744
"Greeley,school District No. 6",Greeley,1,0,0,625,37.8,16.5,0.901,0.053,0,0.072,0.733,0,0.013,0.13,7.03427,6.5128
"Mapleton, School District No. 1",Denver,1,0,0,600,33,18.1,0.845,0.018,0.005,0.008,0.873,0,0.008,0.087,6.59136,3.1231
School District No. 1,Denver,1,0,0,386,23.7,16.2,0.961,0.062,0.018,0.021,0.839,0.003,0.005,0.052,6.57391,6.573
Adams 12 Five Star Schools,Thornton,1,0,0,849,52,16.3,0.826,0.027,0.012,0.025,0.743,0.001,0.005,0.187,6.35827,2.8577
"Aurora, Joint District No. 28",Aurora,1,0,0,743,43,17.2,0.872,0.21,0.007,0.022,0.682,0.001,0.026,0.052,6.19964,5.4063
"Pueblo, School District No. 60",Pueblo,1,0,0,452,32.7,13.7,0.909,0.038,0.007,0,0.796,0,0.015,0.144,6.16327,4.3184
School District No. 1,Denver,1,0,0,870,63.9,13.5,0.977,0.106,0.005,0.003,0.854,0,0.015,0.017,6.05445,3.0516
"Westminster, School District No. 50",Denver,1,0,0,594,29.5,20.1,0.88,0.012,0.003,0.042,0.843,0.002,0.015,0.082,5.623,3.5607
School District No. 1,Denver,1,0,0,519,38,13.6,0.95,0.118,0.031,0,0.802,0,0.017,0.033,5.56109,1.7951
"Falcon, School District No. 49",Falcon,1,0,0,249,12.3,20.1,0.341,0.076,0.004,0.024,0.177,0.004,0.068,0.647,5.0975,7.10229
"Pueblo, School District No. 60",Pueblo,1,0,0,539,34.3,15.7,0.805,0.03,0.007,0.004,0.729,0,0.007,0.223,4.59527,4.9858
State Charter School Institute,Colorado Springs,1,1,0,244,16.4,14.8,0.877,0.086,0,0.008,0.684,0,0.016,0.205,4.435,2.786
"Mapleton, School District No. 1",Denver,1,0,1,471,24.5,19.2,0.8,0.019,0.011,0.006,0.824,0,0.015,0.125,4.28918,7.9567
School District No. 1,Denver,1,0,0,796,50.5,15.7,0.985,0.029,0.004,0.02,0.916,0,0.004,0.028,4.14527,2.5255
"Aurora, Joint District No. 28",Aurora,1,0,0,1241,60.8,20.4,0.901,0.093,0.005,0.091,0.738,0.002,0.018,0.054,3.78227,3.9674
"Aurora, Joint District No. 28",Aurora,1,0,0,474,28.7,16.4,0.842,0.133,0.006,0.154,0.654,0.002,0.019,0.032,3.767,3.3771
Adams 12 Five Star Schools,Northglenn,0,0,0,302,26.9,11.2,0.483,0.04,0.017,0.003,0.49,0.003,0.023,0.424,3.15763,0.63629
"Colorado Springs, School District No. 11",Colorado Springs,1,0,0,198,20,9.9,0.763,0.106,0,0.01,0.48,0,0.056,0.348,2.46425,1.9755
School District No. 1,Denver,1,0,0,154,21.2,7.2,0.799,0.266,0.006,0,0.623,0.013,0.013,0.078,1.82,1.05225
Jefferson County School District No. R-1,Golden,0,0,0,41,10,4.1,0.683,0,0.024,0,0.512,0,0,0.463,1.7555,0.64571
