District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
St. Vrain Valley School District No. Re1j,0,0,0,728,32.7,22.2,0.093,0.005,0,0.025,0.096,0,0.023,0.85,79.24564,(n/a)
Summit School District No. Re 1,0,0,0,295,20.2,14.5,0.325,0.003,0,0.007,0.285,0,0.031,0.675,79.18327,68.4604
"Academy, School District No. 20",0,0,0,367,22.3,16.4,0.207,0.014,0,0.025,0.177,0.003,0.052,0.73,79.05245,89.5134
"Douglas County School District, No. Re 1",0,0,0,654,32.3,20.1,0.04,0.005,0,0.049,0.109,0,0.054,0.784,79.046,80.09923
Poudre School District R-1,1,0,0,319,19.6,16.2,0.561,0,0.006,0.003,0.743,0,0.013,0.235,78.91945,75.7811
Jefferson County School District No. R-1,0,0,0,350,13.9,25,0.16,0,0.006,0.014,0.069,0,0.026,0.886,78.88564,81.2913
"Academy, School District No. 20",0,0,0,609,34.5,17.6,0.128,0.025,0.005,0.023,0.126,0.007,0.057,0.757,78.83218,80.8289
"Lewis-Palmer Consolidated, School District No. 38",0,0,0,420,27.9,15,0.126,0.01,0.01,0.045,0.09,0.012,0.048,0.786,78.80921,81.25431
Durango School District No. 9-R,1,0,0,176,12.8,13.7,0.375,0,0.034,0,0.222,0.006,0.04,0.699,78.75864,69.6407
Jefferson County School District No. R-1,0,1,0,745,28,26.6,0.016,0.004,0.005,0.016,0.114,0,0.04,0.82,78.62114,75.76123
School District 27j,0,1,0,757,31.2,24.2,0.125,0.025,0.003,0.008,0.21,0,0.049,0.705,78.52729,60.59177
"Cherry Creek, School District No. 5",0,0,0,656,32,20.4,0.21,0.078,0.003,0.058,0.142,0,0.087,0.633,78.49718,82.1726
"Harrison, School District No. 2",1,0,0,551,31.5,17.4,0.557,0.16,0.009,0.038,0.396,0.013,0.073,0.312,78.41527,81.5399
Del Norte Consolidated School District No. C-7,1,0,0,162,16.6,9.7,0.698,0,0,0,0.562,0,0.025,0.414,78.415,44.45283
Summit School District No. Re 1,0,0,0,235,14.9,15.7,0.145,0.004,0,0.009,0.068,0,0.038,0.881,78.29309,72.9403
Thompson School District R-2j,0,0,0,184,10.5,17.4,0.37,0,0,0.038,0.038,0,0.005,0.918,78.18309,69.3371
School District No. 1,0,0,0,567,30,18.9,0.243,0.101,0.007,0.03,0.168,0.002,0.086,0.607,78.04464,64.3775
School District No. 1,0,0,0,456,26,17.5,0.274,0.132,0.007,0.061,0.151,0.004,0.075,0.57,78.012,79.3652
Poudre School District R-1,0,0,0,541,32.8,16.4,0.152,0.013,0,0.043,0.092,0,0.024,0.828,77.73173,73.4297
"Academy, School District No. 20",0,0,0,530,30.4,17.4,0.117,0.015,0.009,0.017,0.128,0,0.036,0.794,77.63364,79.6355
Delta County Joint District No. 50,1,0,0,237,13.8,17,0.557,0.013,0.004,0,0.156,0,0.008,0.819,77.62443,77.51954
"Douglas County School District, No. Re 1",0,0,0,411,22.7,18,0.071,0.01,0.002,0.012,0.119,0,0.044,0.813,77.62057,79.14515
"Platte Canyon, School District No. 1",1,0,0,494,28,17.6,0.34,0.006,0.002,0.012,0.099,0,0.049,0.832,77.56382,78.9283
School District No. 1,0,0,0,540,30,18,0.474,0.124,0.006,0.054,0.246,0.002,0.063,0.506,77.51418,64.9596
Poudre School District R-1,0,0,0,436,24,18.1,0.328,0.021,0.009,0.023,0.163,0,0.062,0.722,77.48118,88.6497
