District,Is Title I,Is Charter,Is Magnet,Number Students,Number Fulltime Teachers,Student/Teacher Ratio,Percent Free/Disc Lunch,Percent African American,Percent American Indian,Percent Asian,Percent Hispanic,Percent Pacific Islander,Percent Two or More Races,Percent White,Average Standard Score (2014),Average Standard Score (2013)
McClave School District No. Re-2,1,0,0,133,11.7,11.3,0.602,0,0,0,0,0,0.015,0.985,59.55657,37.11683
Pueblo County School District 70,0,0,0,489,23,21.2,0.241,0.014,0.004,0.008,0.256,0.002,0.039,0.677,59.51691,75.9438
Pueblo County School District 70,1,0,0,400,21.5,18.5,0.593,0.003,0.005,0.003,0.508,0.003,0.028,0.453,59.19,58.3722
"Colorado Springs, School District No. 11",0,0,0,419,24.1,17.3,0.518,0.041,0.007,0,0.222,0.002,0.076,0.652,59.15082,71.8285
Fremont Re-2,1,0,0,233,15.6,14.8,0.536,0.004,0.004,0,0.146,0,0.043,0.803,58.98118,51.5544
Sargent School District No. Re-33j,1,0,0,246,19.1,12.8,0.407,0,0,0.004,0.252,0,0.012,0.732,58.6635,55.91862
School District No. 3,0,0,0,617,33,18.6,0.379,0.089,0.003,0.016,0.217,0.015,0.118,0.541,58.63582,52.6087
Poudre School District R-1,0,0,0,313,19.2,16.3,0.47,0.019,0.01,0.035,0.185,0,0.026,0.725,58.53209,55.358
"Douglas County School District, No. Re 1",0,0,0,441,25.8,17,0.134,0.005,0,0.048,0.141,0,0.041,0.766,58.28429,57.94415
Adams 12 Five Star Schools,0,1,0,390,26.7,14.5,0.044,0.003,0.003,0.033,0.144,0,0.044,0.774,58.24457,48.041
"Cherry Creek, School District No. 5",0,0,0,526,29.8,17.6,0.363,0.175,0.004,0.046,0.198,0.006,0.091,0.481,58.18018,52.9611
Mesa County Valley School District No. 51,0,0,0,476,22.7,20.9,0.214,0,0.004,0.006,0.101,0.006,0.063,0.819,58.12345,63.1344
Mesa County Valley School District No. 51,0,0,0,451,25,18,0.457,0.009,0.011,0.004,0.2,0.002,0.051,0.723,58.03082,69.5189
St. Vrain Valley School District No. Re1j,0,0,0,377,23.7,15.8,0.48,0.024,0.008,0.016,0.313,0,0.013,0.626,57.98536,36.6196
"Aurora, Joint District No. 28",0,0,0,675,30.7,21.9,0.305,0.16,0.003,0.126,0.227,0,0.081,0.403,57.84786,60.97938
Pueblo County School District 70,0,0,0,502,24.5,20.4,0.426,0.014,0,0.012,0.323,0,0.036,0.616,57.82245,69.786
School District No. 1,0,0,0,575,31,18.5,0.388,0.014,0.01,0.016,0.39,0.002,0.033,0.536,57.75073,58.0427
Jefferson County School District No. R-1,0,0,0,355,16.8,21,0.403,0.017,0.02,0.014,0.197,0,0.034,0.718,57.35164,58.99408
Jefferson County School District No. R-1,0,0,0,476,21.1,22.4,0.426,0.042,0.017,0.015,0.313,0,0.036,0.578,57.18836,59.45008
"Douglas County School District, No. Re 1",0,0,0,637,31.8,19.9,0.085,0.017,0.002,0.017,0.107,0.002,0.035,0.821,57.14193,68.867
"Littleton, School District No. 6",1,0,0,529,34,15.5,0.44,0.013,0,0.017,0.287,0,0.055,0.628,57.04691,68.6587
Woodland Park School District No. Re-2,1,0,0,381,22.7,16.7,0.42,0.013,0.003,0.013,0.087,0,0.058,0.827,56.99273,56.6989
"Peyton, School District No. 23",1,0,0,280,18.3,15.2,0.35,0.025,0.014,0.014,0.111,0,0.032,0.804,56.91971,48.75546
Meeker School District Re1,1,0,0,366,18.5,19.7,0.26,0,0.016,0,0.164,0.003,0.003,0.814,56.90627,59.0471
Delta County Joint District No. 50,1,0,0,372,24.2,15.3,0.532,0.003,0.013,0.003,0.148,0,0.027,0.806,56.89864,59.4033
"Pueblo, School District No. 60",0,0,0,531,25.8,20.5,0.674,0.013,0.006,0.009,0.663,0,0.011,0.298,56.843,64.4244
"Falcon, School District No. 49",0,0,0,571,33.3,17.1,0.32,0.068,0.011,0.028,0.245,0.009,0.079,0.56,56.76209,50.5475
Weld County School District No. Re-7,1,0,0,480,34,14.1,0.498,0.002,0,0.002,0.338,0,0.002,0.656,56.71845,45.2486
"Harrison, School District No. 2",1,0,0,535,33,16.2,0.903,0.202,0,0.019,0.417,0.028,0.08,0.254,56.64091,60.9865
"Pueblo, School District No. 60",0,0,0,364,19.3,18.7,0.621,0.022,0.003,0.014,0.701,0,0.022,0.239,56.63273,44.582
Poudre School District R-1,1,0,0,594,36.6,16.1,0.54,0.012,0.013,0.022,0.217,0.007,0.024,0.705,56.62345,61.7282
"Pueblo, School District No. 60",0,0,0,711,38,18.6,0.606,0.024,0.003,0.014,0.549,0.001,0.015,0.394,56.59721,63.92985
Fremont Re-1,1,0,0,279,18.9,14.7,0.53,0.011,0.004,0,0.147,0,0.022,0.817,56.45336,47.77169
Thompson School District R-2j,1,0,0,336,20.4,16.4,0.637,0.015,0.003,0.012,0.277,0,0.03,0.664,56.44473,59.1536
Adams 12 Five Star Schools,0,0,0,392,21,18.6,0.492,0.015,0.01,0.036,0.367,0.003,0.028,0.541,56.43427,57.7028
Jefferson County School District No. R-1,0,0,0,490,26.3,18.6,0.322,0.012,0.006,0.024,0.247,0.002,0.037,0.671,56.39171,56.50677
Boulder Valley School District No. Re2,0,0,0,293,18.2,16,0.266,0.003,0,0.014,0.061,0.003,0.058,0.86,56.37764,66.7733
"Douglas County School District, No. Re 1",0,0,0,474,26.4,17.9,0.099,0.008,0.002,0.008,0.16,0,0.044,0.776,56.34221,70.81877
"Colorado Springs, School District No. 11",1,0,0,211,15.1,13.9,0.815,0.071,0.005,0.005,0.351,0.005,0.038,0.526,56.12664,59.2112
La Veta School District Re-2,1,0,0,87,8.6,10,0.609,0,0,0,0.264,0,0,0.736,56.101,64.75457
Springfield School District No. Re-4,1,0,0,168,16.4,10.1,0.589,0,0,0,0.161,0,0.03,0.81,55.99655,47.21883
Roaring Fork School District No. Re-1,1,0,0,670,47.8,14,0.4,0.001,0.001,0.01,0.522,0,0.022,0.442,55.95671,54.728
"Sanford, School District No. 6",1,0,0,222,13.2,16.7,0.545,0,0,0,0.302,0,0.023,0.676,55.92964,73.81485
Strasburg School District 31j,1,0,0,469,24.5,19.1,0.267,0.009,0.011,0.011,0.136,0.004,0.019,0.81,55.74173,52.5204
St. Vrain Valley School District No. Re1j,0,0,0,510,25.5,19.9,0.184,0.004,0.002,0.006,0.153,0.002,0.014,0.82,55.52118,60.2795
"Pueblo, School District No. 60",0,0,0,548,25.6,21.3,0.593,0.004,0,0,0.6,0,0.005,0.391,55.50779,46.797
"Academy, School District No. 20",0,0,0,498,31.7,15.7,0.229,0.028,0.002,0.01,0.133,0.006,0.052,0.769,55.33636,59.9506
"Academy, School District No. 20",1,0,0,413,31.3,13.1,0.482,0.056,0.005,0.017,0.269,0.002,0.075,0.576,55.26309,62.4736
"Colorado Springs, School District No. 11",0,0,0,265,14.4,18.4,0.2,0.023,0.004,0.015,0.128,0.004,0.075,0.751,55.04118,60.0358
Mesa County Valley School District No. 51,0,0,0,380,22,17.2,0.303,0.008,0.005,0.029,0.134,0.005,0.032,0.787,55.01191,53.2982
Primero Reorganized School District No. 2,1,0,0,92,8.3,11,0.446,0.011,0.022,0,0,0.011,0,0.957,54.86425,(n/a)
Poudre School District R-1,0,0,0,453,30.4,14.8,0.494,0.007,0,0.009,0.384,0,0.024,0.576,54.78791,54.4337
"Cherry Creek, School District No. 5",0,0,0,578,29.8,19.3,0.209,0.05,0.002,0.045,0.118,0.003,0.043,0.739,54.76818,65.0449
State Charter School Institute,1,1,0,523,24.1,21.6,0.83,0.01,0.002,0.004,0.893,0,0.008,0.084,54.68591,(n/a)
"Douglas County School District, No. Re 1",0,0,0,501,29,17.2,0.12,0.008,0,0.006,0.142,0,0.05,0.794,54.58571,65.19669
Jefferson County School District No. R-1,0,1,0,280,13,21.5,0,0,0.004,0.029,0.111,0,0.046,0.811,54.4755,39.17415
"Falcon, School District No. 49",0,1,0,831,41.4,20,0.118,0.053,0.006,0.017,0.183,0.006,0.073,0.662,54.38243,68.72446
Pueblo County School District 70,1,0,0,344,19.5,17.6,0.581,0.003,0.012,0.012,0.442,0,0.044,0.488,54.22845,41.5853
School District No. 1,0,0,0,510,38.7,13.1,0.59,0.216,0.01,0.039,0.267,0.006,0.065,0.398,54.18643,44.04144
Thompson School District R-2j,0,1,0,656,31.1,21,0.255,0.003,0,0.008,0.111,0.003,0.024,0.851,54.10893,(n/a)
Adams 12 Five Star Schools,0,0,0,531,28,18.9,0.298,0.019,0.002,0.047,0.347,0.002,0.038,0.546,54.01609,51.9138
Pueblo County School District 70,1,0,0,387,21.3,18.1,0.517,0.008,0.005,0.005,0.437,0,0.023,0.522,53.91118,61.6586
Pueblo County School District 70,1,0,0,409,21.3,19.1,0.467,0.012,0,0.002,0.401,0,0.022,0.562,53.90064,56.4064
"Colorado Springs, School District No. 11",0,0,0,378,23.2,16.2,0.656,0.085,0,0.019,0.312,0,0.09,0.495,53.81073,66.6914
St. Vrain Valley School District No. Re1j,0,0,0,470,26.2,17.9,0.368,0.009,0.004,0.021,0.219,0,0.051,0.696,53.73355,73.1132
"Greeley,school District No. 6",0,1,0,187,14.1,13.2,0.369,0.021,0.005,0.005,0.358,0.005,0.016,0.588,53.7265,(n/a)
Poudre School District R-1,0,0,0,473,26.7,17.6,0.347,0.011,0.004,0.006,0.156,0,0.027,0.795,53.70845,54.0059
"Colorado Springs, School District No. 11",0,0,0,303,16.4,18.4,0.64,0.013,0.013,0.003,0.284,0.003,0.079,0.604,53.70145,52.5736
Boulder Valley School District No. Re2,0,0,0,380,23.4,16.1,0.297,0.024,0.008,0.026,0.242,0,0.042,0.658,53.63727,59.7852
"Harrison, School District No. 2",1,0,0,380,25,15.2,0.666,0.145,0.011,0.039,0.282,0.016,0.092,0.416,53.37973,55.1555
"Greeley,school District No. 6",0,1,0,1765,88.7,19.8,0.313,0.01,0.006,0.018,0.32,0.004,0.012,0.631,53.26086,52.54677
Thompson School District R-2j,0,0,0,389,25.2,15.4,0.424,0.021,0.003,0.003,0.203,0,0.033,0.738,53.24327,47.1845
State Charter School Institute,0,1,0,755,48.3,15.6,0.248,0.004,0.003,0.016,0.131,0,0.023,0.824,53.02536,49.91738
Custer County School District Consolidate 1,1,0,0,174,11.9,14.5,0.506,0.011,0.006,0.006,0.011,0,0.046,0.92,52.84445,60.4364
Clear Creek School District No. Re-1,1,0,0,223,18.1,12.2,0.484,0,0.022,0.009,0.09,0,0.049,0.83,52.67507,56.36931
School District No. 3,1,0,0,437,29.9,14.6,0.446,0.071,0.002,0.016,0.277,0.023,0.114,0.497,52.51109,53.6193
Clear Creek School District No. Re-1,0,1,0,112,9.3,11.9,0.188,0.018,0,0.009,0.098,0.009,0.009,0.857,52.51025,68.65433
Garfield School District No. Re-2,0,0,0,320,19.7,16.1,0.431,0.003,0.034,0.006,0.309,0,0.013,0.634,52.21614,67.49583
School District No. Re-1 Valley,1,0,0,442,28.2,15.6,0.618,0.002,0.014,0.005,0.281,0,0.036,0.663,52.06018,44.5288
Pueblo County School District 70,1,0,0,106,8,13.1,0.481,0,0,0,0.17,0,0.009,0.821,51.81538,37.674
Thompson School District R-2j,0,0,0,245,15.5,15.7,0.424,0.004,0,0.004,0.114,0,0.008,0.869,51.77491,58.7438
"Aurora, Joint District No. 28",0,1,0,539,32.2,16.7,0.481,0.262,0.007,0.03,0.282,0,0.067,0.353,51.71264,50.31454
Roaring Fork School District No. Re-1,1,0,0,747,50.4,14.8,0.339,0.008,0.004,0.007,0.455,0,0.021,0.505,51.64027,54.7395
Jefferson County School District No. R-1,0,0,0,225,12,18.7,0.422,0.013,0.013,0.009,0.133,0,0.04,0.791,51.4085,41.04138
Adams 12 Five Star Schools,0,0,0,578,28.5,20.2,0.458,0.022,0.016,0.085,0.343,0.005,0.042,0.488,51.33091,50.1137
St. Vrain Valley School District No. Re1j,0,0,0,545,27,20.1,0.319,0.013,0.006,0.018,0.303,0,0.039,0.622,51.25245,58.7503
"Falcon, School District No. 49",1,0,0,324,17.9,18,0.457,0.025,0,0.012,0.176,0.006,0.037,0.744,51.19945,52.59
St. Vrain Valley School District No. Re1j,0,0,0,565,30,18.8,0.409,0.005,0.007,0.021,0.246,0,0.012,0.708,51.12618,49.0608
Pueblo County School District 70,0,0,0,529,25.5,20.7,0.338,0.011,0.006,0.009,0.238,0.004,0.028,0.703,51.01173,59.8163
School District 27j,0,0,0,659,29.2,22.5,0.452,0.006,0.003,0.017,0.426,0.002,0.036,0.51,50.96618,42.50823
Jefferson County School District No. R-1,0,0,0,579,24.5,23.6,0.396,0.012,0.016,0.069,0.39,0,0.033,0.48,50.9445,37.91346
School District No. 3,0,1,0,194,14.7,13.1,0.026,0.129,0.021,0.005,0.196,0.005,0.093,0.552,50.85786,33.79757
Weld County Reorganized School District No. Re-1,1,0,0,393,22.2,17.6,0.471,0,0.003,0.003,0.565,0,0.005,0.425,50.46682,53.8102
Jefferson County School District No. R-1,0,0,0,290,13.8,20.9,0.341,0.007,0,0.017,0.283,0,0.031,0.662,50.46221,38.44631
St. Vrain Valley School District No. Re1j,0,1,0,356,20.4,17.3,0.191,0.011,0.003,0.003,0.194,0.003,0.008,0.778,50.30664,51.9047
"Cherry Creek, School District No. 5",0,0,0,769,46.2,16.6,0.319,0.075,0.01,0.155,0.191,0.003,0.068,0.498,50.27664,59.222
"Falcon, School District No. 49",1,0,0,666,41,16.2,0.477,0.101,0.008,0.02,0.236,0.002,0.108,0.527,50.20545,58.7298
School District 27j,0,1,0,932,51,18.2,0.244,0.002,0.002,0.014,0.278,0.002,0.024,0.678,50.1555,55.65177
State Charter School Institute,1,1,0,818,37.7,21.6,0.518,0.293,0.004,0.028,0.336,0.002,0.081,0.256,50.14643,42.26708
Mesa County Valley School District No. 51,0,0,0,645,31.5,20.4,0.316,0.003,0.008,0.006,0.149,0.003,0.029,0.802,50.13227,61.4096
Woodland Park School District No. Re-2,1,0,0,343,23.5,14.5,0.493,0.003,0.006,0,0.108,0,0.038,0.845,50.09682,54.7679
Garfield School District No. Re-2,1,0,0,284,19.2,14.7,0.553,0.007,0.021,0.007,0.437,0,0.035,0.493,49.93214,80.05717
School District No. 1,0,0,0,811,42.7,18.9,0.597,0.014,0.005,0.076,0.491,0.002,0.032,0.38,49.77414,60.96162
"Falcon, School District No. 49",0,0,0,966,14.5,66.2,0.066,0.03,0.002,0.007,0.091,0.003,0.051,0.816,49.56386,44.80408
Eagle County School District No. Re 50,0,0,0,302,22.3,13.4,0.507,0,0.01,0.007,0.543,0,0.01,0.43,49.34282,44.6565
"Littleton, School District No. 6",0,0,0,389,24.7,15.7,0.378,0.028,0.003,0.01,0.195,0.005,0.028,0.73,49.33273,56.1361
"Falcon, School District No. 49",0,0,0,720,36.4,19.7,0.229,0.054,0.007,0.043,0.226,0.003,0.086,0.581,49.22327,65.9519
Park County School District No. Re-2,1,1,0,132,11.3,11.6,0.576,0,0.03,0,0.136,0,0.061,0.773,49.061,60.76383
Mesa County Valley School District No. 51,1,0,0,478,28.3,16.8,0.588,0.01,0.017,0.002,0.318,0,0.029,0.623,48.92155,45.0692
School District No. Re-5 Plateau,1,0,0,94,10.6,8.8,0.33,0.021,0.021,0,0.032,0,0,0.926,48.76875,82.037
School District 27j,0,0,0,694,31.4,22,0.359,0.039,0.003,0.05,0.389,0,0.046,0.473,48.71909,52.3338
Mesa County Valley School District No. 51,0,0,0,383,21.7,17.6,0.366,0.005,0.008,0.003,0.196,0,0.084,0.705,48.60136,43.3139
Estes Park School District R-3,1,0,0,512,37.1,13.7,0.436,0.01,0.004,0.02,0.273,0,0.006,0.688,48.57318,47.5072
Fremont Re-2,1,0,0,405,24.6,16.4,0.644,0.007,0.002,0.007,0.17,0,0.002,0.81,48.527,43.381
Gilpin County School District No. Re-1,1,0,0,253,18.5,13.6,0.304,0.016,0,0.012,0.138,0.004,0.059,0.771,48.38655,45.8196
School District No. 3,1,0,0,437,29.5,14.7,0.519,0.08,0.005,0.007,0.254,0.005,0.073,0.577,48.35345,50.8194
Mancos School District Re-6,1,0,0,185,15.4,11.9,0.643,0.005,0.086,0,0.162,0,0.038,0.708,48.30882,49.3098
School District No. 3,0,0,0,668,34,19.6,0.374,0.091,0.003,0.013,0.275,0.01,0.099,0.507,48.22273,51.5426
"Colorado Springs, School District No. 11",0,0,0,440,26.4,16.6,0.609,0.07,0.002,0.018,0.264,0.007,0.075,0.564,48.14209,53.6582
Elbert School District No. 200,1,0,0,95,10.7,8.8,0.232,0,0.011,0,0.084,0,0.021,0.884,48.14025,72.77383
Mesa County Valley School District No. 51,0,0,0,311,13.4,23,0.312,0,0.003,0.013,0.129,0,0.026,0.83,48.09,63.9001
"Pueblo, School District No. 60",0,0,0,329,17,19.2,0.696,0.006,0.006,0,0.802,0,0.006,0.179,48.06355,41.6405
Montrose County School District Re-1j,1,0,0,382,26.6,14.3,0.613,0,0.005,0.013,0.346,0,0.029,0.607,47.88873,50.9241
Jefferson County School District No. R-1,0,0,0,347,16.3,21.2,0.38,0.009,0,0.084,0.222,0.012,0.069,0.605,47.73729,53.32954
"Douglas County School District, No. Re 1",0,0,0,651,36.7,17.7,0.167,0.009,0.006,0.011,0.14,0.002,0.025,0.808,47.70393,53.76923
Jefferson County School District No. R-1,0,0,0,265,16.1,16.3,0.366,0.019,0,0.026,0.192,0,0.049,0.713,47.51393,65.73246
School District No. C-2,1,0,0,155,11.6,13.3,0.394,0.006,0,0,0.129,0,0.052,0.813,47.47545,52.7415
"Douglas County School District, No. Re 1",0,0,0,579,29.5,19.6,0.193,0.014,0.003,0.021,0.136,0.002,0.047,0.777,47.34436,64.879
School District No. 1,1,0,0,187,14,13.3,0.567,0.075,0.011,0.016,0.508,0.005,0.053,0.332,47.32891,43.5209
School District No. Re-3 Fort Morgan,1,0,0,261,20.1,12.9,0.728,0.034,0.019,0.011,0.521,0.004,0.011,0.398,47.17943,64.28917
Adams 12 Five Star Schools,0,0,0,517,25.8,20,0.383,0.019,0.002,0.056,0.331,0.002,0.014,0.576,47.13873,41.4844
Branson Reorganized School District No. 82,0,0,0,439,23.3,18.8,0.125,0.055,0.014,0.007,0.276,0.002,0.059,0.588,47.09131,51.2593
School District No. 1,1,1,0,800,44.1,18.1,0.611,0.373,0.006,0.081,0.36,0.004,0.046,0.13,47.068,56.81762
"Douglas County School District, No. Re 1",0,0,0,410,27,15.1,0.273,0.01,0.005,0.027,0.159,0.005,0.049,0.746,46.96357,53.64762
Thompson School District R-2j,0,0,0,250,16.7,14.9,0.54,0.004,0,0.02,0.32,0,0.02,0.636,46.84618,47.1465
Weld County School District No. Re-5j,0,1,0,361,18.3,19.6,0.388,0,0.008,0.03,0.188,0,0.055,0.717,46.84286,49.22138
Weld County Reorganized School District No. Re-3,1,0,0,320,22.4,14.2,0.663,0.006,0.003,0,0.394,0,0.022,0.575,46.82991,38.8304
Mesa County Valley School District No. 51,1,0,0,492,26.3,18.6,0.606,0.002,0.014,0.008,0.248,0.002,0.055,0.671,46.795,64.0345
"Cherry Creek, School District No. 5",0,0,0,594,35.3,16.7,0.387,0.158,0.005,0.054,0.224,0.003,0.061,0.495,46.34382,51.6091
Cripple Creek-Victor School District No. Re-1,1,0,0,211,12.3,17.1,0.673,0,0.024,0.005,0.142,0.005,0.005,0.82,46.14493,59.61438
Fremont Re-1,1,0,0,264,19.9,13.2,0.667,0,0.019,0,0.098,0.004,0.034,0.845,45.90873,42.3966
"Greeley,school District No. 6",0,0,0,509,28.5,17.8,0.409,0.012,0.002,0.008,0.383,0.002,0.016,0.578,45.88707,45.72423
"Harrison, School District No. 2",1,0,1,726,37.8,19.1,0.675,0.096,0.011,0.021,0.482,0.007,0.033,0.35,45.84314,42.94046
School District 27j,0,0,0,691,33.2,20.8,0.436,0.006,0.003,0.038,0.52,0,0.02,0.414,45.81164,49.1195
School District No. C-1,0,0,0,403,24.9,16.1,0.223,0.002,0.005,0.007,0.124,0,0.025,0.836,45.71845,50.8432
Garfield School District No. Re-2,1,0,0,376,23.5,16,0.54,0.003,0.003,0.008,0.348,0,0.027,0.612,45.62543,40.04033
"Academy, School District No. 20",1,0,0,380,27.5,13.8,0.411,0.026,0.003,0.039,0.247,0,0.082,0.603,45.42355,45.9934
"Haxtun School District, No. Re-2j",1,0,0,229,16.6,13.7,0.336,0,0,0,0.096,0,0,0.904,45.29664,58.09411
School District No. 1,1,1,0,243,22.6,10.7,0.815,0.374,0.004,0.008,0.477,0,0.053,0.082,45.256,(n/a)
Fremont Re-3,1,0,0,95,7.4,12.7,0.495,0,0,0.011,0.032,0,0.011,0.947,45.22775,43.3693
"Mapleton, School District No. 1",1,0,1,748,44,17,0.69,0.012,0.005,0.024,0.754,0.001,0.023,0.18,45.20221,38.85931
Mesa County Valley School District No. 51,1,0,0,375,17,22,0.515,0,0.011,0,0.203,0,0.067,0.72,45.03764,37.1106
School District No. 1,1,0,0,576,34.2,16.8,0.757,0.019,0.005,0.061,0.722,0.007,0.03,0.156,44.88164,53.3419
Adams 12 Five Star Schools,0,1,0,758,37.6,20.1,0.364,0.012,0.003,0.055,0.409,0.003,0.051,0.467,44.82564,(n/a)
"Colorado Springs, School District No. 11",1,0,0,152,14.6,10.4,0.822,0.02,0.013,0.026,0.382,0,0.079,0.48,44.61045,53.8763
School District 27j,0,0,0,620,30.9,20,0.527,0.008,0.002,0.008,0.55,0,0.035,0.397,44.55593,38.33977
Arriba-Flagler Consolidated School District No. 20,1,0,0,117,9.7,12,0.513,0,0,0.009,0.094,0,0.017,0.88,44.40625,43.234
Bennett School District No. 29j,1,0,0,403,24.2,16.6,0.407,0.002,0.015,0,0.231,0,0.032,0.72,44.13209,41.1747
"Fountain, School District No. 8",1,0,0,741,44.3,16.7,0.48,0.182,0.009,0.018,0.209,0.024,0.089,0.468,44.08418,48.8312
"Fountain, School District No. 8",1,0,0,485,35,13.8,0.604,0.161,0.002,0,0.256,0.01,0.085,0.487,43.87818,51.8772
Park County School District No. Re-2,1,0,0,245,15.6,15.6,0.482,0.004,0,0.004,0.139,0,0.041,0.812,43.73673,50.8938
"Harrison, School District No. 2",1,0,0,479,31.6,15.1,0.762,0.19,0.017,0.015,0.524,0.006,0.058,0.19,43.65909,37.2328
Dolores School District No. Re-4a,1,0,0,325,22,14.7,0.495,0.003,0.028,0.003,0.117,0,0.028,0.822,43.60173,49.8987
Jefferson County School District No. R-1,0,0,0,342,18.8,18.1,0.556,0.02,0,0.029,0.374,0,0.038,0.538,43.59043,50.14123
Jefferson County School District No. R-1,0,1,0,388,26.8,14.4,0.235,0.021,0.003,0.023,0.134,0.008,0.08,0.732,43.56507,46.81785
Gunnison Watershed School District Re1j,1,0,0,622,43.5,14.2,0.421,0.008,0.005,0.003,0.257,0,0.011,0.715,43.52655,43.2959
"Mapleton, School District No. 1",1,0,0,483,23,21,0.797,0.008,0.017,0.004,0.762,0.002,0.041,0.166,43.45836,53.65977
Eagle County School District No. Re 50,0,0,0,354,23.8,14.8,0.429,0,0.008,0.003,0.579,0,0.014,0.395,43.27464,37.1995
"Cherry Creek, School District No. 5",0,0,0,703,38.1,18.4,0.408,0.105,0.006,0.047,0.243,0.004,0.075,0.519,43.20364,46.3096
"Hanover, School District No. 28",1,0,0,130,8,16.2,0.762,0.023,0,0,0.254,0,0.031,0.692,43.162,24.7994
St. Vrain Valley School District No. Re1j,0,0,0,449,23.7,18.9,0.532,0.011,0.011,0.011,0.276,0,0.011,0.679,43.09727,59.2466
"Fountain, School District No. 8",1,0,0,480,32.5,14.7,0.713,0.071,0.013,0.006,0.313,0.01,0.083,0.504,43.08164,53.3961
Boulder Valley School District No. Re2,1,0,0,446,30.7,14.5,0.509,0.009,0.004,0.002,0.657,0.002,0.025,0.3,43.03345,38.8772
Bayfield School District No. 10jt-R,1,0,0,670,43,15.5,0.264,0.001,0.037,0.006,0.157,0,0.034,0.764,42.932,50.6123
"Aurora, Joint District No. 28",0,0,0,688,33.4,20.5,0.365,0.174,0.001,0.041,0.321,0.006,0.078,0.378,42.89043,39.28269
Moffat County School District Re: No. 1,0,0,0,304,18.1,16.7,0.375,0.003,0.01,0.003,0.201,0,0.036,0.747,42.87464,37.8042
Jefferson County School District No. R-1,0,0,0,389,17.5,22.2,0.355,0.003,0.015,0.028,0.203,0,0.036,0.715,42.67564,46.42546
"Cherry Creek, School District No. 5",1,0,0,593,29.8,19.8,0.509,0.196,0.007,0.027,0.265,0.012,0.094,0.4,42.58618,43.574
Jefferson County School District No. R-1,0,0,0,351,17.6,19.8,0.621,0.034,0.009,0.043,0.311,0.006,0.057,0.541,42.49157,40.40277
Adams 12 Five Star Schools,0,0,1,297,16.9,17.5,0.387,0.03,0.024,0.03,0.209,0,0.034,0.673,42.41673,45.4725
"Pueblo, School District No. 60",0,1,0,445,30.8,14.4,0.6,0.009,0.007,0,0.661,0,0.011,0.312,42.36907,45.15754
"Aurora, Joint District No. 28",0,0,0,539,24.3,22.1,0.495,0.2,0.011,0.052,0.315,0,0.056,0.365,42.34036,55.9038
North Conejos School District No. Re1j,1,0,0,211,15.4,13.7,0.621,0,0,0,0.569,0,0.005,0.427,42.22709,33.2993
Thompson School District R-2j,1,0,0,197,17.3,11.3,0.645,0.015,0.005,0.01,0.284,0,0.02,0.665,42.17855,35.431
School District No. Re-1 Valley,1,0,0,158,10.6,14.7,0.519,0,0,0,0.203,0,0.019,0.778,42.00371,50.64023
Weld County Reorganized School District No. Re-1,1,0,0,371,23.5,15.7,0.555,0,0.016,0.005,0.472,0,0.022,0.485,42.00336,44.3645
Jefferson County School District No. R-1,0,0,0,347,18.8,18.4,0.452,0.009,0.003,0.006,0.21,0.006,0.037,0.729,41.95543,59.97231
"Harrison, School District No. 2",1,0,0,286,20,14.3,0.727,0.045,0.017,0.017,0.448,0.017,0.059,0.395,41.85336,44.739
Burlington Public School District No. Re-6j,1,0,0,388,22,17.6,0.482,0.015,0,0.005,0.487,0,0.01,0.482,41.72271,39.7945
School District No. 1,0,0,0,397,17.2,23,0.36,0.003,0,0.015,0.592,0,0.03,0.36,41.63464,35.2433
"Ellicott, School District No. 22",1,0,0,535,35.4,15.1,0.701,0.032,0.002,0.002,0.279,0.002,0.049,0.636,41.60655,40.2797
Thompson School District R-2j,1,0,0,214,15.2,14,0.65,0.009,0.014,0.005,0.224,0,0.042,0.706,41.41618,48.8083
Durango School District No. 9-R,1,0,0,158,10.3,15.2,0.399,0,0.006,0,0.139,0,0.006,0.848,41.32045,62.9346
Buena Vista School District No. R-31,1,0,0,469,26.3,17.8,0.426,0.015,0.004,0.006,0.117,0.002,0.028,0.827,41.01609,50.7554
Julesburg School District No. Re1,1,0,0,174,13.5,12.8,0.563,0,0.011,0,0.27,0,0.023,0.695,40.96691,59.27767
Jefferson County School District No. R-1,0,1,0,498,21.6,23,0.155,0.008,0.004,0.016,0.122,0,0.036,0.813,40.92479,43.65069
Boulder Valley School District No. Re2,1,0,0,491,37.4,13.1,0.593,0.01,0.008,0.031,0.621,0,0.024,0.305,40.89936,40.7534
Moffat County School District Re: No. 1,0,0,0,271,17,15.9,0.373,0.004,0.011,0.007,0.148,0,0.015,0.815,40.777,45.5394
Boulder Valley School District No. Re2,1,0,0,351,24.9,14,0.496,0.014,0,0.074,0.436,0.011,0.046,0.419,40.76964,38.277
"Douglas County School District, No. Re 1",0,0,0,276,20.9,13.2,0.46,0.011,0.007,0.022,0.283,0.004,0.043,0.63,40.69343,29.49823
Fremont Re-1,1,0,0,732,44.9,16.2,0.637,0.001,0.008,0.004,0.143,0.004,0.027,0.811,40.63786,39.79508
Miami-Yoder Joint District No. 60,1,0,0,146,9.5,15.2,0.651,0.007,0,0,0.178,0,0.041,0.774,40.35971,60.962
